QueryText,KccAns
water meoln season,recommended to sow  december 15 to january last week
eucalyptus  wheavy shoots problem,recommended to remove all water shoots except healthy grown two or three shoots
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
ANTHROCNOSE LEAF SPOTS IN WATER MEALON,"RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITERS OF WATER / ACRE 
 RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITERS OF WATER /ACRE"
POWDERY MILDEW IN CHILLI,RECOMMENDED TO SPRAY DINOCAP  400 ML /200 LITERS OF WATER / ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
COTTON MARKET INFORMAtion,COTTON MARKET INFORMAtion : MINIMUM 4386 - MAXIMUM 5611
TRIPS IN MANGO,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
bacterial leaf spot management in chilli,bacterial leaf spot management in chilli : RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
WEATHER REPORT,"WEATHER REPORT: MOSTLY CLOUDY AND RAINY:
area."
POWERY MILDEW IN CHILLI,RECOMMENDED TO SPRAY DINOCAP  400 ML /200 LITERS OF WATER / ACRE
ACABC CENTER ANDRAPRADESH NUMBER,"ACABC CENTER ANDRAPRADESH NUMBER : ANDHRA PRADESH	Bojja Venkata Reddy Agricultural Foundation	Dasaradharam Reddy, 9848040991, Mr. Srinivas Reddy, Nodal Officer, Mob: 9491369801	Agri-Clinics and Agri-Business Centres Cell, BVR Agricultural Foundation, 25/510A, Srinivasa Nagar, Nandyal â€“ 518 501, Kurnool â€“District, Andhra Pradesh, Email: bojjafoundationnti@gmail.com,skype id: bojjafoundation"
weather report:,today there is no chance of rainfall in your area
TOBACCO DAMPING OFF,TOBACCO DAMPING OFF: RECOMMENDED TO SPRAY COPPEROXYCHLORIDE 3 GRAM PER LITRE WATER
